sample_id	subject_id	relation_id	timepoint
37273_8_9	B01822	B01822	7
22607_2_12	B01829	B01829	21
22607_2_7	B01829	B01829	4
22607_2_8	B01829	B01829	7
25076_6_13	B01829	B01829	100
25013_2_13	B01830	B01830	21
25076_7_3	B01830	B01830	100
21989_7_12	B01847	B01847	21
21989_7_13	B01847	B01847	4
21989_7_14	B01847	B01847	7
25076_3_18	B01847	B01847	100
25013_3_15	B01848	B01848	7
25076_5_15	B01848	B01848	100
24211_4_9	B01851	B01851	7
24469_3_23	B01851	B01851	100
37273_7_10	B01887	B01887	7
37081_3_4	B01889	B01889	21
24211_5_15	B01890	B01890	21
24211_5_5	B01890	B01890	7
24469_2_24	B01890	B01890	100
23584_5_10	B01891	B01891	4
23584_5_12	B01891	B01891	0
24469_4_24	B01891	B01891	21
24211_4_10	B01892	B01892	4
24211_4_12	B01892	B01892	7
24469_2_3	B01892	B01892	100
37273_3_30	B01904	B01904	7
37273_3_29	B01905	B01905	7
24211_4_15	B01906	B01906	7
24211_5_1	B01906	B01906	21
25013_1_5	B01906	B01906	100
24211_4_13	B01944	B01944	7
24469_1_17	B01944	B01944	100
23430_6_5	B01947	B01947	7
23584_5_13	B01947	B01947	0
23430_6_4	B01948	B01948	7
23584_5_16	B01948	B01948	0
24469_6_15	B01948	B01948	100
22178_4_21	B01954	B01954	21
22178_4_22	B01954	B01954	4
22178_4_23	B01954	B01954	7
25013_2_11	B01954	B01954	100
21989_7_15	B01956	B01956	21
21989_7_16	B01956	B01956	4
